px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.71388	4.78202	1.19532	5.42192	-0.298616	5.7057	4.7199	5.682	4.7956	0.6252	-0.7804	0.721662
5.69277	4.60296	0.674662	5.28983	-0.236335	5.09199	4.41671	5.9093	4.4668	0.5225	-0.8527	8.0001
5.92385	4.16782	0.98963	5.14418	-0.262011	5.939	4.1052	6.0936	4.1121	0.4115	-0.9114	0.836506
5.99749	3.62801	1.20671	4.82068	-0.416626	5.74125	3.36853	6.2319	3.737	0.294	-0.9558	2.46302
6.08194	3.44693	0.841277	4.79023	-0.340222	6.1215	3.536	6.3222	3.3476	0.1719	-0.9851	1.64302
6.16611	2.83111	1.25449	4.78847	-0.208914	6.05288	2.54201	6.3629	2.95	0.0471	-0.9989	3.53325
6.23557	2.3951	1.21195	4.75625	-0.1752	6.2495	2.4093	6.3535	2.5503	-0.0785	-0.9969	0.0657271
6.02227	2.27954	0.746825	4.30026	-0.554761	6.14173	2.57788	6.2941	2.155	-0.2028	-0.9792	5.50983
6.07967	1.86325	0.916134	4.36338	-0.381353	6.2042	1.7983	6.1856	1.7703	-0.3239	-0.9461	2.42483
5.73322	1.35878	1.42411	3.94083	-0.63862	5.55596	1.27689	6.0297	1.4022	-0.44	-0.898	2.69681
5.7767	1.03903	1.01076	4.08428	-0.393752	5.9627	1.0775	5.8289	1.0565	-0.549	-0.8358	5.37458
5.52182	0.668211	1.07194	4.00689	-0.321618	5.42037	0.618966	5.5864	0.7388	-0.6495	-0.7604	0.352943
5.34652	0.289538	1.07749	4.04996	-0.199918	5.3865	0.2643	5.306	0.4539	-0.7396	-0.673	0.368561
4.96155	0.271562	0.904075	3.52125	-0.56241	4.87908	0.366128	4.992	0.2064	-0.8182	-0.575	2.35315
4.66265	0.113707	0.916743	3.39275	-0.495722	4.6798	0.0846	4.6496	0.0002	-0.8838	-0.4679	0.148003
4.23265	-0.121535	1.2587	3.44437	-0.319152	4.3323	-0.171649	4.284	-0.1614	-0.9354	-0.3535	1.46659
3.92401	-0.346372	1.1218	3.53337	-0.159968	3.9809	-0.3785	3.901	-0.2759	-0.9724	-0.2334	0.730601
3.39431	-0.386437	1.14956	3.29427	-0.268103	2.94668	-0.324554	3.5067	-0.3416	-0.994	-0.1097	3.26811
3.04497	-0.440621	1.0413	3.20914	-0.260443	3.0839	-0.4422	3.1072	-0.3573	-0.9999	0.0157	0.220654
2.67515	-0.290754	1.0258	2.8613	-0.458048	2.74796	-0.280157	2.709	-0.3228	-0.99	0.1409	0.632151
2.40029	-0.187859	0.902795	2.71619	-0.434605	2.4402	-0.2113	2.3182	-0.2386	-0.9646	0.2639	0.298929
2.18708	-0.0828397	0.709983	2.57573	-0.416344	2.27124	-0.0943107	1.941	-0.1062	-0.9239	0.3827	0.313477
1.83998	0.194968	0.99878	2.30194	-0.526433	1.7974	0.3236	1.5835	0.0725	-0.8686	0.4955	1.70245
1.50631	0.313334	0.872229	2.47536	-0.222014	1.22059	0.264884	1.2511	0.2946	-0.7997	0.6004	2.01368
0.990057	0.473537	1.0936	2.68161	-0.0470675	0.8725	0.4495	0.9492	0.5566	-0.7181	0.6959	2.05439
0.569288	0.775296	1.30307	2.58788	-0.0696339	0.733998	1.0473	0.6825	0.8543	-0.6252	0.7804	1.51374
0.392373	1.18291	1.0427	2.26573	-0.25968	0.5267	1.1895	0.4552	1.1832	-0.5225	0.8526	2.31245
0.236414	1.59881	0.995459	2.03008	-0.326977	0.303621	1.99816	0.2709	1.5379	-0.4115	0.9114	2.35421
0.205515	2.02308	0.922372	1.63055	-0.559011	0.3405	2.0384	0.1326	1.9129	-0.294	0.9558	1.56549
0.0748628	2.31142	0.973156	1.68128	-0.354282	0.0578163	1.99336	0.0423	2.3024	-0.1719	0.9851	2.0889
0.124972	2.83505	1.14892	1.41855	-0.447808	0.1674	2.8965	0.0016	2.7	-0.0471	0.9989	0.768651
