px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.10018	0.718634	5.12866	0.0148561	-0.0249155	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	3.26664
7.32144	0.80364	5.08294	0.0600076	0.0387748	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	3.39325
7.61066	0.814929	5.1637	0.0595466	0.0360268	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	4.0515
7.86032	0.794544	5.15492	0.0423458	0.0111481	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.526084
8.11126	0.811586	5.10917	0.0451973	0.0127803	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.49733
8.34884	0.830375	5.08856	0.0500404	0.018374	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.536852
8.61494	0.918038	5.15337	0.0899803	0.0697478	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.92721
8.85164	0.978244	5.13109	0.112534	0.094178	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.920269
9.13886	1.01657	5.18048	0.120483	0.0978097	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.65431
9.37557	1.05096	5.15665	0.127518	0.100827	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.743705
9.65276	1.12326	5.20113	0.150617	0.123273	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.5341
9.92355	1.25257	5.22813	0.199657	0.177064	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	3.20406
10.1732	1.34389	5.18808	0.228961	0.204787	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.6668
10.3986	1.42625	5.16014	0.251666	0.221099	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.2475
10.6321	1.51444	5.09416	0.277738	0.244018	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	4.11313
10.8591	1.54637	5.06439	0.272632	0.222791	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.37809
11.1232	1.59823	5.09598	0.272757	0.207524	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.84427
11.4012	1.6437	5.12848	0.268379	0.188195	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	1.87865
11.6334	1.70319	5.08954	0.275732	0.187242	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.948437
11.8641	1.76778	5.07186	0.283763	0.185864	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.401098
12.1179	1.8577	5.11542	0.298846	0.191026	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.34288
12.3613	1.88557	5.09803	0.285519	0.162441	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.74954
12.6159	1.94574	5.13175	0.284893	0.14926	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.99621
12.8159	2.08132	5.10184	0.327106	0.193277	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.32485
13.08	2.18698	5.17662	0.341432	0.19462	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	3.59254
13.2826	2.32899	5.15181	0.381538	0.232966	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.50265
13.4644	2.47914	5.06564	0.430138	0.286096	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	10.7589
